书名,作者,译者,星数,评价人数,引语,出版社,出版时间,价格
罗杰疑案,[英] 阿加莎·克里斯蒂 , 张江云 ,8.9,26981,阿加莎·克里斯蒂代表作, 人民文学出版社 , 2006-5 , 21.00元
金色梦乡,[日] 伊坂幸太郎 , 李彦桦 ,9.0,18530,伊坂幸太郎代表作, 译林出版社 , 2010-9 , 35.00元
时间简史,[英] 史蒂芬·霍金 , 许明贤 ,8.8,46064,探索时间和空间的核心秘密, 湖南科学技术出版社 , 2010-4 , 45.00元
叫魂,[美] 孔飞力 , 陈兼 ,9.0,19056,1768年中国妖术大恐慌, 生活·读书·新知三联书店 上海三联书店 , 2012-5 , 38.00元
王尔德童话,[英] 王尔德 , 王林 ,9.1,15573,一颗纯美纯善、永难泯灭的童心, 译林出版社 , 2003-6 , 6.00元
陆犯焉识,严歌苓 , ,8.8,43471,翻手为苍凉，覆手为繁华, 作家出版社 , 2011-10 , 35.00元
冬牧场,李娟 , ,9.0,17532,阿勒泰的精灵, 新星出版社 , 2012-6 , 29.80元
一个陌生女人的来信,[奥] 斯台芬·茨威格 , 张玉书 ,8.7,105575,暗恋的极致, 上海译文出版社 , 2007-7 , 20.00元
人生的智慧,[德] 阿图尔·叔本华 , 韦启昌 ,9.2,15924,对世俗、实用问题深刻而透彻的讨论, 上海人民出版社 , 2008-10 , 28.00元
鼠疫,(法)阿尔贝·加缪 , 刘方 ,9.1,21136,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理, 上海译文出版社 , 2013-8 , 34.00元
美的历程,李泽厚 , ,9.2,15737,中国美学经典之作, 生活·读书·新知三联书店 , 2009-7-1 , 43.00元
國史大綱（上下）,錢穆 , ,9.3,12030,钱穆中国通史, 商務印書館 , 2013-8 , 76.00元
彷徨,鲁迅 , ,8.9,21553,路漫漫其修远兮，吾将上下而求索, 人民文学出版社 , 1973年3月 , 0.37元
野草,鲁迅 , ,9.3,11502,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。, 人民文学出版社 , 1973-3 , 0.20元
孩子你慢慢来,龙应台 , ,8.7,61563,我们现在怎样做母亲, 生活·读书·新知三联书店 , 2009-12-1 , 28.00元
